,index,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
180,3425.0,65.35,65.76,64.34,64.55,9824000.0,4.0729,0.5323,3.5406,88.9904,-9.7738,59.7914,9.25
181,624.0,100.32,101.19,97.3,97.39,62439631.0,-4.2011,-0.5902,-3.6109,30.0234,-92.6154,40.3468,-11.35
182,1305.0,444.46,444.93,434.39,439.29,18103900.0,-2.7952,4.5884,-7.3836,57.6909,-9.9086,25.8215,36.49
183,737.0,121.5,122.57,117.52,118.44,69975968.0,-1.5230000000000001,-0.7273,-0.7957,32.0809,-94.0453,24.9811,-13.63
184,3212.0,52.33,53.65,51.88,53.61,18986900.0,1.7434,-0.0951,1.8385,64.0791,-18.1644,41.3898,2.4
185,808.0,126.99,128.87,126.32,128.62,37654505.0,0.5243,0.1464,0.3778,57.6738,-5.3419,10.2569,3.02
186,2445.0,99.6,102.04,85.885,97.4,62936700.0,-12.0545,1.719,-13.7735,37.6714,-60.5096,53.5934,0.33
187,2142.0,213.13,213.35,210.56,210.732,12586100.0,3.4462,1.7423,1.7039,64.1314,-14.0218,20.0641,15.702
188,2472.0,152.32,154.99,148.8,151.61,34755100.0,-3.7769999999999997,-2.5339,-1.2431,29.4131,-90.2091,25.3994,-22.03
189,4329.0,24.93,25.63,24.6,25.04,12382200.0,0.8529,0.3553,0.4976,62.7453,-10.1429,19.4949,4.17
190,2447.0,103.84,107.0,97.89,97.95,56577700.0,-13.3685,1.2579,-14.6264,36.8294,-71.0938,55.8942,-11.17
191,1274.0,435.4,436.29,428.5,430.05,9709500.0,-1.3096,-2.0202,0.7106,41.3878,-94.5804,14.1009,-19.685
192,1668.0,389.25,391.14,384.32,384.77,12471800.0,-2.9355,-2.3448,-0.5907,43.356,-78.895,10.2821,-12.64
193,4472.0,52.75,55.5,52.06,53.5,7777700.0,0.1638,-0.7961,0.9599,43.8988,-72.1338,17.8627,-4.94
194,944.0,99.95,100.65,99.42,99.62,37051182.0,-0.7644,0.1002,-0.8646,44.5945,-63.6015,21.8596,-1.44
195,4259.0,19.27,19.42,18.51,18.79,4196900.0,-1.0248,-0.3719,-0.6529,37.8123,-87.2456,22.8274,-6.31
196,3623.0,23.85,24.1,22.83,23.0,5642500.0,0.2894,0.0448,0.2446,53.9801,-45.8333,17.3428,0.44
197,1111.0,510.06,513.5,507.81,512.51,9205900.0,-11.008,-2.5416,-8.4665,40.008,-70.2542,27.4149,-43.67
198,1473.0,679.99,680.87,673.54,675.68,15250300.0,17.9216,3.4601,14.4615,73.9435,-8.1386,36.4506,45.68
199,753.0,121.94,123.85,121.21,123.28,61354474.0,-1.4042,-0.4728,-0.9315,41.1336,-61.6257,25.2985,-4.22
200,4280.0,23.66,25.1,23.2,23.25,9203400.0,0.3481,0.3859,-0.0378,57.3875,-32.1739,18.6327,2.81
201,967.0,103.1,103.2,98.58,98.94,125233100.0,-3.1447,2.1967,-5.3413,34.426,-69.1643,41.3994,-1.59
202,1172.0,519.58,523.19,512.38,512.492,9379300.0,8.0107,-1.6068,9.6175,51.2879,-85.7079,19.4015,-19.418
203,3580.0,29.07,29.31,28.5,29.18,7195200.0,0.7739,0.0412,0.7327,63.5174,-12.2324,32.1225,2.07
204,255.0,144.45,144.96,143.78,144.02,22328979.0,-1.6669999999999998,-0.2525,-1.4145,41.2213,-70.0658,24.6537,1.75
205,2868.0,84.63,85.64,84.57,85.3,18142200.0,-0.8045,-0.0939,-0.7107,47.3159,-45.898,20.9804,-0.43
206,2665.0,177.15,180.9,176.99,179.81,27635700.0,2.2223,0.8904,1.3319,55.8906,-27.8111,19.3927,15.86
207,522.0,98.5,99.99,98.46,99.65,26601354.0,0.2482,0.5044,-0.2562,56.5298,-30.3935,23.4163,0.03
208,229.0,158.6,161.83,158.27,160.08,35775675.0,2.6736,0.9366,1.7371,70.9095,-12.044,24.8119,7.34
209,2669.0,176.82,180.6,175.35,180.22,41104000.0,0.5498,0.1699,0.3799,58.0135,-18.4174,21.2603,10.26
210,2844.0,91.99,94.0,91.65,93.87,24532000.0,1.3792,0.5539,0.8253,67.3977,-1.479,19.9552,6.15
211,3756.0,21.35,21.4,20.1,20.38,4454300.0,0.4566,-0.0883,0.5449,51.7613,-80.9524,31.6405,-0.42
212,2831.0,93.67,94.258,93.41,94.25,12588100.0,1.5497,-0.1252,1.6749,59.2646,-49.8069,29.4069,-1.6
213,1093.0,530.92,534.75,529.13,532.36,7145100.0,-1.0685,0.691,-1.7595,51.8639,-52.9081,13.6492,-5.01
214,3530.0,32.1,32.99,31.41,32.5,10545600.0,1.3522,0.0161,1.3361,61.6539,-36.0341,39.2046,1.81
215,2357.0,89.86,92.92,89.25,91.16,29751900.0,-0.0372,-0.9527,0.9155,47.6664,-71.8011,16.6038,-6.67
216,1694.0,392.57,403.18,391.5,400.29,21631700.0,-0.46299999999999997,-0.9607,0.4977,57.9466,-17.1465,17.4303,1.03
217,2274.0,135.42,137.5,134.86,136.22,17340200.0,1.7613,-1.0607,2.8219,52.5105,-75.2959,22.7989,-4.03
218,3265.0,41.41,42.1,41.37,41.49,20939200.0,0.7158,0.4848,0.231,67.9085,-10.2007,17.7156,4.99
219,2036.0,258.21,261.9,254.63,255.965,27082300.0,2.1996,0.9359,1.2637,52.5699,-28.8378,24.4778,18.205
220,2726.0,132.01,132.3,130.0,131.77,51092000.0,1.4923,0.6139,0.8784,49.3192,-55.5249,16.4707,0.7
221,223.0,161.94,162.51,160.15,160.95,27321761.0,3.1291,0.4914,2.6377,63.9994,-10.8484,24.8641,3.81
222,4078.0,23.56,24.34,23.55,24.12,3467900.0,0.0716,-0.1441,0.2157,46.4571,-78.2443,11.6888,-0.74
223,1521.0,583.4,590.0,583.1,587.41,12907300.0,2.7261,2.4014,0.3247,58.6564,-6.2410000000000005,12.7485,24.58
224,1071.0,539.81,540.0,530.58,531.82,9830400.0,1.9342,-0.0114,1.9456,46.9415,-72.1852,13.9482,-1.05
225,1724.0,388.18,391.5,388.0,389.97,14473900.0,2.2277,0.6829,1.5448,58.7611,-4.2021,17.6456,6.56
226,900.0,114.1,114.648,111.62,112.4,57664850.0,1.9865,-0.7799,2.7664,48.513999999999996,-86.6745,37.1272,-4.07
227,2945.0,79.99,81.9,79.75,81.46,29732400.0,1.6592,0.4269,1.2323,71.2618,-4.7312,27.914,6.83
228,417.0,110.08,110.51,109.46,110.41,32560000.0,-0.8413,-0.9945,0.1531,38.0102,-77.561,26.4992,-7.24
229,184.0,155.97,156.98,155.75,156.55,16607693.0,-0.628,0.3303,-0.9584,52.0064,-16.4027,14.8161,2.32
230,4479.0,58.56,59.63,56.81,56.86,7617000.0,1.3840000000000001,-0.1519,1.5359,50.3404,-93.7984,21.3474,-2.64
231,1174.0,524.58,528.885,523.0,525.4490000000001,9471900.0,10.033999999999999,-0.156,10.19,61.2926,-34.8774,21.6342,5.5815
232,1954.0,289.0,290.0,281.25,283.75,24049700.0,8.9541,0.6756,8.2784,64.9951,-37.5899,31.0211,7.18
233,4256.0,19.89,19.9,19.0,19.5,3322400.0,-0.8918,-0.0989,-0.7929,42.9517,-77.6119,22.1807,-0.48
234,2558.0,183.75,186.5,183.07,185.06,32110200.0,10.2768,0.938,9.3388,72.1366,-10.4284,47.1901,16.12
235,454.0,113.86,115.73,113.49,115.57,90613177.0,1.3079,0.4579,0.85,71.6023,-1.2121,22.5181,9.47
236,519.0,97.32,98.475,96.75,97.46,31931944.0,0.0759,0.1335,-0.0576,47.0023,-84.2205,21.0617,-2.4
237,3659.0,19.65,19.89,19.25,19.85,6733300.0,-0.4832,-0.0556,-0.4276,39.1127,-76.834,17.8999,-1.2
238,459.0,107.25,107.27,105.24,105.52,53002026.0,0.7034,-0.47,1.1733,45.7028,-93.7079,21.615,-2.51
239,665.0,116.26,116.82,115.65,115.72,32525579.0,1.25,-0.5032,1.7532,47.0557,-82.4008,21.5435,-4.81
240,4469.0,49.31,53.81,48.13,53.5,17492600.0,-0.887,-1.0316,0.1446,46.3093,-59.6544,18.7009,-3.36
241,3078.0,66.3,67.44,65.81,66.469,26238500.0,0.4563,0.7374,-0.2811,51.973,-38.8108,25.6,3.719
242,1735.0,378.07,379.64,374.23,376.99,18892000.0,3.303,-3.5773,6.8803,52.412,-53.4382,26.2157,-13.49
243,3611.0,23.6,24.19,23.6,23.92,4020200.0,0.3217,0.1033,0.2185,61.3415,-15.767000000000001,15.1538,0.66
244,2762.0,138.19,138.44,136.04,138.12,27030600.0,5.2855,0.7586,4.527,72.2214,-8.9942,34.3025,10.95
245,1328.0,449.82,451.819,441.62,442.66,15815700.0,0.0237,2.436,-2.4123,45.0779,-60.9016,23.9633,10.16
246,3229.0,49.05,49.4,47.92,48.68,34395500.0,1.2293,0.0723,1.1569,69.8192,-17.3913,39.5822,2.94
247,4079.0,24.3,24.5,23.68,23.77,2508000.0,0.1254,-0.1264,0.2517,43.0823,-96.3855,11.3723,-0.89
248,2202.0,187.74,190.01,187.3,190.01,21610200.0,4.6828,-0.1285,4.8113,69.5185,0.0,25.1733,5.53
249,4112.0,24.06,24.53,23.61,24.38,4611600.0,0.1297,0.0606,0.0691,54.9459,-14.8515,15.8686,2.88
250,2792.0,121.41,122.69,120.5,122.67,32885200.0,5.5821,0.6357,4.9463,77.1511,-0.1038,46.2809,10.69
251,3211.0,54.16,54.54,53.68,54.44,18126900.0,1.7986,-0.0319,1.8305,66.4251,-2.2945,40.4328,1.8
252,2841.0,93.99,95.9,93.3,95.85,30892400.0,1.9661,0.6728,1.2934,70.5811,-0.5882,25.6783,5.98
253,2608.0,118.23,123.05,118.09,122.96,52683500.0,-8.7289,1.3852,-10.1141,36.8914,-51.67100000000001,54.9665,-1.9
254,2780.0,121.7,124.29,120.72,123.9,30965900.0,3.8448,-0.4844,4.3292,63.486999999999995,-30.3849,36.9721,-0.16899999999999998
255,3610.0,23.96,25.22,23.91,25.16,11789700.0,0.4446,0.1809,0.2637,70.248,-1.8017,16.4644,2.69
256,2763.0,138.3,139.6,137.5,138.9099,25355700.0,5.2268,0.8895,4.3373,74.572,-5.1646,33.6521,17.6499
257,4326.0,24.21,24.86,23.57,24.72,5906800.0,1.0154,0.2874,0.728,60.4374,-16.748,20.8691,2.68
258,3894.0,14.21,14.76,14.21,14.62,9983400.0,-0.1028,0.0321,-0.1348,47.8807,-49.3506,12.2767,-0.18
259,548.0,94.2,95.74,93.68,95.18,56831277.0,-2.9513,-1.7993,-1.1520000000000001,27.7204,-86.09299999999999,37.181999999999995,-11.73
