Date,Date Value,Open,High,Low,Close,Adj Close,Volume
12/14/17,43083,172.399994,173.130005,171.649994,172.220001,170.861832,20476500
12/15/17,43084,173.630005,174.169998,172.460007,173.970001,172.598022,40169300
12/18/17,43087,174.880005,177.199997,174.860001,176.419998,175.028717,29421100
12/19/17,43088,175.029999,175.389999,174.089996,174.539993,173.163528,27436400
12/20/17,43089,174.869995,175.419998,173.25,174.350006,172.975037,23475600
12/21/17,43090,174.169998,176.020004,174.100006,175.009995,173.629822,20949900
12/22/17,43091,174.679993,175.419998,174.5,175.009995,173.629822,16349400
12/26/17,43095,170.800003,171.470001,169.679993,170.570007,169.224838,33185500
12/27/17,43096,170.100006,170.779999,169.710007,170.600006,169.254608,21498200
12/28/17,43097,171,171.850006,170.479996,171.080002,169.73082,16480200
12/29/17,43098,170.520004,170.589996,169.220001,169.229996,167.895416,25999900
1/2/18,43102,170.160004,172.300003,169.259995,172.259995,170.901505,25555900
1/3/18,43103,172.529999,174.550003,171.960007,172.229996,170.871735,29517900
1/4/18,43104,172.539993,173.470001,172.080002,173.029999,171.665436,22434600
1/5/18,43105,173.440002,175.369995,173.050003,175,173.619904,23660000
1/8/18,43108,174.350006,175.610001,173.929993,174.350006,172.975037,20567800
1/9/18,43109,174.550003,175.059998,173.410004,174.330002,172.9552,21584000
1/10/18,43110,173.160004,174.300003,173,174.289993,172.915497,23959900
1/11/18,43111,174.589996,175.490005,174.490005,175.279999,173.897705,18667700
1/12/18,43112,176.179993,177.360001,175.649994,177.089996,175.69342,25418100
1/16/18,43116,177.899994,179.389999,176.139999,176.190002,174.800537,29565900
1/17/18,43117,176.149994,179.25,175.070007,179.100006,177.687576,33888500
1/18/18,43118,179.369995,180.100006,178.25,179.259995,177.846313,31193400
1/19/18,43119,178.610001,179.580002,177.410004,178.460007,177.052628,32425100
1/22/18,43122,177.300003,177.779999,176.600006,177,175.604141,27108600
1/23/18,43123,177.300003,179.440002,176.820007,177.039993,175.643814,32689100
1/24/18,43124,177.25,177.300003,173.199997,174.220001,172.846054,51105100
1/25/18,43125,174.509995,174.949997,170.529999,171.110001,169.760574,41529000
1/26/18,43126,172,172,170.059998,171.509995,170.157425,39143000
1/29/18,43129,170.160004,170.160004,167.070007,167.960007,166.635422,50640400
1/30/18,43130,165.529999,167.369995,164.699997,166.970001,165.653244,46048200
1/31/18,43131,166.869995,168.440002,166.5,167.429993,166.109604,32478900
2/1/18,43132,167.169998,168.619995,166.759995,167.779999,166.456848,47230800
2/2/18,43133,166,166.800003,160.100006,160.5,159.234253,86593800
2/5/18,43136,159.100006,163.880005,156,156.490005,155.25589,72738500
2/6/18,43137,154.830002,163.720001,154,163.029999,161.744293,68243800
2/7/18,43138,163.089996,163.399994,159.070007,159.539993,158.281815,51608600
2/8/18,43139,160.289993,161,155.029999,155.149994,153.926437,54390500
2/9/18,43140,157.070007,157.889999,150.240005,156.410004,155.809189,70672600
2/12/18,43143,158.5,163.889999,157.509995,162.710007,162.084991,60819500
2/13/18,43144,161.949997,164.75,161.649994,164.339996,163.708725,32549200
2/14/18,43145,163.039993,167.539993,162.880005,167.369995,166.727081,40644900
2/15/18,43146,169.789993,173.089996,169,172.990005,172.3255,51147200
2/16/18,43147,172.360001,174.820007,171.770004,172.429993,171.767639,40176100
2/20/18,43151,172.050003,174.259995,171.419998,171.850006,171.18988,33930500
2/21/18,43152,172.830002,174.119995,171.009995,171.070007,170.412872,37471600
2/22/18,43153,171.800003,173.949997,171.710007,172.5,171.837372,30991900
2/23/18,43154,173.669998,175.649994,173.539993,175.5,174.825851,33812400
2/26/18,43157,176.350006,179.389999,176.210007,178.970001,178.282532,38162200
2/27/18,43158,179.100006,180.479996,178.160004,178.389999,177.704758,38928100
2/28/18,43159,179.259995,180.619995,178.050003,178.119995,177.435791,37782100
3/1/18,43160,178.539993,179.779999,172.660004,175,174.327774,48802000
3/2/18,43161,172.800003,176.300003,172.449997,176.210007,175.533142,38454000
3/5/18,43164,175.210007,177.740005,174.520004,176.820007,176.140793,28401400
3/6/18,43165,177.910004,178.25,176.130005,176.669998,175.991364,23788500
3/7/18,43166,174.940002,175.850006,174.270004,175.029999,174.357666,31703500
3/8/18,43167,175.479996,177.119995,175.070007,176.940002,176.26033,23774100
3/9/18,43168,177.960007,180,177.389999,179.979996,179.288635,32185200
3/12/18,43171,180.289993,182.389999,180.210007,181.720001,181.021957,32207100
3/13/18,43172,182.589996,183.5,179.240005,179.970001,179.278687,31693500
3/14/18,43173,180.320007,180.520004,177.809998,178.440002,177.754562,29368400
3/15/18,43174,178.5,180.240005,178.070007,178.649994,177.963745,22743800
3/16/18,43175,178.649994,179.119995,177.619995,178.020004,177.336182,39404700
3/19/18,43178,177.320007,177.470001,173.660004,175.300003,174.626633,33446800
3/20/18,43179,175.240005,176.800003,174.940002,175.240005,174.566864,19649400
3/21/18,43180,175.039993,175.089996,171.259995,171.270004,170.612106,37054900
3/22/18,43181,170,172.679993,168.600006,168.850006,168.201401,41490800
3/23/18,43182,168.389999,169.919998,164.940002,164.940002,164.306427,41028800
3/26/18,43185,168.070007,173.100006,166.440002,172.770004,172.106354,37541200
3/27/18,43186,173.679993,175.149994,166.919998,168.339996,167.693359,40922600
3/28/18,43187,167.25,170.020004,165.190002,166.479996,165.8405,41668500
3/29/18,43188,167.809998,171.75,166.899994,167.779999,167.135513,38398500
4/2/18,43192,166.639999,168.940002,164.470001,166.679993,166.039734,37586800
4/3/18,43193,167.639999,168.75,164.880005,168.389999,167.743164,30278000
4/4/18,43194,164.880005,172.009995,164.770004,171.610001,170.950806,34605500
4/5/18,43195,172.580002,174.229996,172.080002,172.800003,172.13623,26933200
4/6/18,43196,170.970001,172.479996,168.199997,168.380005,167.733215,35005300
4/9/18,43199,169.880005,173.089996,169.850006,170.050003,169.39679,29017700
4/10/18,43200,173,174,171.529999,173.25,172.584503,28408600
4/11/18,43201,172.229996,173.919998,171.699997,172.440002,171.777618,22431600
4/12/18,43202,173.410004,175,173.039993,174.139999,173.471085,22889300
4/13/18,43203,174.779999,175.839996,173.850006,174.729996,174.058807,25124300
4/16/18,43206,175.029999,176.190002,174.830002,175.820007,175.144638,21578400
4/17/18,43207,176.490005,178.940002,176.410004,178.240005,177.555328,26605400
4/18/18,43208,177.809998,178.820007,176.880005,177.839996,177.15686,20754500
4/19/18,43209,173.759995,175.389999,172.660004,172.800003,172.13623,34808800
4/20/18,43210,170.600006,171.220001,165.429993,165.720001,165.08342,65491100
4/23/18,43213,166.830002,166.919998,164.089996,165.240005,164.60527,36515500
4/24/18,43214,165.669998,166.330002,161.220001,162.940002,162.314102,33692000
4/25/18,43215,162.619995,165.419998,162.410004,163.649994,163.021362,28382100
4/26/18,43216,164.119995,165.729996,163.369995,164.220001,163.589188,27963000
4/27/18,43217,164,164.330002,160.630005,162.320007,161.696487,35655800
4/30/18,43220,162.130005,167.259995,161.839996,165.259995,164.625183,42427400
5/1/18,43221,166.410004,169.199997,165.270004,169.100006,168.450439,53569400
5/2/18,43222,175.229996,177.75,173.800003,176.570007,175.891754,66539400
5/3/18,43223,175.880005,177.5,174.440002,176.889999,176.21051,34068200
5/4/18,43224,178.25,184.25,178.169998,183.830002,183.123856,56201300
5/7/18,43227,185.179993,187.669998,184.75,185.160004,184.448746,42451400
5/8/18,43228,184.990005,186.220001,183.669998,186.050003,185.335327,28402800
5/9/18,43229,186.550003,187.399994,185.220001,187.360001,186.640305,23211200
5/10/18,43230,187.740005,190.369995,187.649994,190.039993,189.309998,27989300
5/11/18,43231,189.490005,190.059998,187.449997,188.589996,188.589996,26212200
5/14/18,43234,189.009995,189.529999,187.860001,188.149994,188.149994,20778800
5/15/18,43235,186.779999,187.070007,185.100006,186.440002,186.440002,23695200
5/16/18,43236,186.070007,188.460007,186,188.179993,188.179993,19183100
5/17/18,43237,188,188.910004,186.360001,186.990005,186.990005,17294000
5/18/18,43238,187.190002,187.809998,186.130005,186.309998,186.309998,18297700
5/21/18,43241,188,189.270004,186.910004,187.630005,187.630005,18400800
5/22/18,43242,188.380005,188.880005,186.779999,187.160004,187.160004,15240700
5/23/18,43243,186.350006,188.5,185.759995,188.360001,188.360001,19467900
5/24/18,43244,188.770004,188.839996,186.210007,188.149994,188.149994,20401000
5/25/18,43245,188.229996,189.649994,187.649994,188.580002,188.580002,17461000
5/29/18,43249,187.600006,188.75,186.869995,187.899994,187.899994,22369000
5/30/18,43250,187.720001,188,186.779999,187.5,187.5,18690500
5/31/18,43251,187.220001,188.229996,186.139999,186.869995,186.869995,27482800
6/1/18,43252,187.990005,190.259995,187.75,190.240005,190.240005,23250400
6/4/18,43255,191.639999,193.419998,191.350006,191.830002,191.830002,26132000
6/5/18,43256,193.070007,193.940002,192.360001,193.309998,193.309998,21566000
6/6/18,43257,193.630005,194.080002,191.919998,193.979996,193.979996,20933600
6/7/18,43258,194.139999,194.199997,192.339996,193.460007,193.460007,21347200
